id,age,sex,cued,block,condtrial,trialinblock,efflev,rewlev,calc,corAns,option1,option2,option3,tstart,ITI1Time,probTime,respTime,selectTime,ITI2Time,fbTime,ITI3Time,key_press,chosenAns,RT,acc,feedback
debug,25,M,0,Practice,NA,0,1,0,4 + 1 + 9 + 1 + 1,16,15,16,14,5.009943962097168,NA,5.009945869445801,10.042462825775146,10.796880006790161,10.796886920928955,12.30645489692688,13.346776008605957,w,16,0.7544171810150146,1,Correct
debug,25,M,0,Practice,NA,1,1,0,3 + 1 + 1 + 8 - 1,12,10,11,12,14.862957954406738,NA,14.862960815429688,19.888052940368652,20.528197050094604,20.528203010559082,22.03717303276062,23.046913862228394,e,12,0.6401441097259521,1,Correct
debug,25,M,0,0,0,0,2,0,3 + 8 - 5 + 1 + 1,8,8,6,9,26.428606033325195,NA,26.42860984802246,31.444103956222534,34.64790892601013,34.64791488647461,36.156599044799805,37.16595482826233,q,8,3.2038049697875977,1,Correct
debug,25,M,0,0,1,1,3,0,2 - 4 + 9 + 7 + 1,15,15,13,16,38.67427086830139,NA,38.6742730140686,43.694506883621216,46.301103830337524,46.3011109828949,47.81067085266113,48.8240180015564,e,16,2.6065969467163086,0,Incorrect
debug,25,M,0,1,2,0,1,0,8 + 1 + 1 + 1 - 4,7,5,7,8,52.871196031570435,NA,52.87119793891907,57.888185024261475,58.79705882072449,58.79706597328186,60.30576992034912,61.314690828323364,w,7,0.9088737964630127,1,Correct
debug,25,M,0,1,3,1,2,0,4 + 8 + 1 + 1 - 5,9,9,11,8,62.82345199584961,NA,62.82345390319824,67.84098982810974,68.45320582389832,68.45321083068848,69.96199488639832,70.97286581993103,q,9,0.6122159957885742,1,Correct
debug,25,M,0,2,4,0,1,0,8 + 1 + 1 - 1 - 4,5,3,6,5,74.72639989852905,NA,74.72640204429626,79.74429488182068,80.4096269607544,80.40963292121887,81.918536901474,82.92718482017517,e,5,0.6653320789337158,1,Correct
debug,25,M,0,2,5,1,3,0,7 + 1 + 9 + 5 - 6,16,16,14,15,84.43800902366638,NA,84.43801093101501,89.4533200263977,90.56185102462769,90.56185698509216,92.07042098045349,93.07927584648132,q,16,1.1085309982299805,1,Correct
debug,25,M,1,0,0,0,1,0,9 + 1 + 1 + 7 - 1,17,17,16,19,98.46781396865845,100.48783588409424,101.9948959350586,107.01212286949158,107.55268502235413,107.5526909828186,109.0613739490509,110.07083296775818,q,17,0.5405621528625488,1,Correct
debug,25,M,1,0,1,1,2,0,9 + 6 + 1 + 7 + 1,24,24,23,25,111.57993197441101,113.60434293746948,115.11170792579651,120.12883400917053,121.69194293022156,121.69194793701172,123.20058989524841,124.21084499359131,w,23,1.5631089210510254,0,Incorrect
